500000000,PDF,WOS,WOP
20.564516129032256,235228.83464476356,236963.0,237060.0
20.766129032258064,230720.7523720295,232685.0,233030.0
20.96774193548387,226340.89018606572,228734.0,228168.0
21.169354838709676,222084.43658020688,223628.0,223191.0
21.370967741935484,217946.80339814673,219853.0,219854.0
21.57258064516129,213923.61352019774,214830.0,215624.0
21.774193548387096,210010.68933347578,211929.0,211647.0
21.9758064516129,206204.04192965917,208158.0,207373.0
22.177419354838708,202499.86097824885,203766.0,204874.0
22.379032258064516,198894.50522765986,200044.0,200870.0
22.58064516129032,195384.49358996042,197500.0,196742.0
22.782258064516128,191966.49676879452,192858.0,193443.0
22.983870967741932,188637.32939294886,190641.0,190138.0
23.18548387096774,185393.94262097677,187051.0,186933.0
23.387096774193548,182233.41718509936,184489.0,183372.0
23.588709677419352,179152.95684460195,181171.0,180617.0
